sede_id,nucleo,tipo,tipo_sigla,nombre,estado,qr_url
MED-914-001,914,Institución Educativa,IE,INST EDUC ANTONIO DERKA - SANTO DOMINGO,Activa,index.html?sede=MED-914-001#registro
MED-914-002,914,Institución Educativa,IE,INST EDUC FE Y ALEGRIA GRANIZAL,Activa,index.html?sede=MED-914-002#registro
MED-914-003,914,Institución Educativa,IE,INST EDUC FE Y ALEGRIA POPULAR NO 1,Activa,index.html?sede=MED-914-003#registro
MED-914-004,914,Institución Educativa,IE,INST EDUC FE Y ALEGRIA SANTO DOMINGO SAVIO,Activa,index.html?sede=MED-914-004#registro
MED-914-005,914,Institución Educativa,IE,INST EDUC FEDERICO CARRASQUILLA,Activa,index.html?sede=MED-914-005#registro
MED-914-006,914,Institución Educativa,IE,INST EDUC GUADALUPE,Activa,index.html?sede=MED-914-006#registro
MED-914-007,914,Institución Educativa,IE,INST EDUC LA AVANZADA,Activa,index.html?sede=MED-914-007#registro
MED-914-008,914,Institución Educativa,IE,INST EDUC LA CANDELARIA,Activa,index.html?sede=MED-914-008#registro
MED-914-009,914,Institución Educativa,IE,INST EDUC MARIA DE LOS ANGELES CANO MARQUEZ,Activa,index.html?sede=MED-914-009#registro
MED-914-010,914,Institución Educativa,IE,INST EDUC NUEVO HORIZONTE,Activa,index.html?sede=MED-914-010#registro
MED-914-011,914,Institución Educativa,IE,INST EDUC SAN NICOLAS,Activa,index.html?sede=MED-914-011#registro
MED-914-012,914,Institución Educativa,IE,INST EDUC SAN PABLO,Activa,index.html?sede=MED-914-012#registro
MED-914-013,914,Sección Escuela,SEC,SEC ESC AGRIPINA MONTES DEL VALLE,Activa,index.html?sede=MED-914-013#registro
MED-914-014,914,Sección Escuela,SEC,SEC ESC ANTONIO DERKA,Activa,index.html?sede=MED-914-014#registro
MED-914-015,914,Sección Escuela,SEC,SEC ESC CARPINELO AMAPOLITA,Activa,index.html?sede=MED-914-015#registro
MED-914-016,914,Sección Escuela,SEC,SEC ESC DIVINA PROVIDENCIA,Activa,index.html?sede=MED-914-016#registro
