sede_id,nucleo,tipo,tipo_sigla,nombre,zona_territorial,tipo_territorio,codigo_territorio,territorio,barrio_vereda,caracter,confianza,observacion_tecnica,estado,qr_url,map_x,map_y
MED-914-001,914,Institución Educativa,IE,INST EDUC ANTONIO DERKA - SANTO DOMINGO,Zona Nororiental,Comuna,1,Popular,Santo Domingo Savio #2,Urbano,Alta,Fuente oficial SED Medellín; sede principal/relacionada con Santo Domingo Savio #2.,Activa,index.html?sede=MED-914-001#registro,64,18
MED-914-002,914,Institución Educativa,IE,INST EDUC FE Y ALEGRIA GRANIZAL,Zona Nororiental,Comuna,1,Popular,Granizal,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-914-002#registro,64,18
MED-914-003,914,Institución Educativa,IE,INST EDUC FE Y ALEGRIA POPULAR NO 1,Zona Nororiental,Comuna,1,Popular,Popular,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-914-003#registro,64,18
MED-914-004,914,Institución Educativa,IE,INST EDUC FE Y ALEGRIA SANTO DOMINGO SAVIO,Zona Nororiental,Comuna,1,Popular,Santo Domingo Savio,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-914-004#registro,64,18
MED-914-005,914,Institución Educativa,IE,INST EDUC FEDERICO CARRASQUILLA,Zona Nororiental,Comuna,1,Popular,Popular,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-914-005#registro,64,18
MED-914-006,914,Institución Educativa,IE,INST EDUC GUADALUPE,Zona Nororiental,Comuna,1,Popular,Villa Guadalupe,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-914-006#registro,64,18
MED-914-007,914,Institución Educativa,IE,INST EDUC LA AVANZADA,Zona Nororiental,Comuna,1,Popular,La Avanzada,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-914-007#registro,64,18
MED-914-008,914,Institución Educativa,IE,INST EDUC LA CANDELARIA,Zona Nororiental,Comuna,1,Popular,Santo Domingo Savio #1,Urbano,Alta,Fuente oficial SED Medellín; sede principal localizada en Santo Domingo Savio #1.,Activa,index.html?sede=MED-914-008#registro,64,18
MED-914-009,914,Institución Educativa,IE,INST EDUC MARIA DE LOS ANGELES CANO MARQUEZ,Zona Nororiental,Comuna,1,Popular,Granizal,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-914-009#registro,64,18
MED-914-010,914,Institución Educativa,IE,INST EDUC NUEVO HORIZONTE,Zona Nororiental,Comuna,1,Popular,Nuevo Horizonte,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-914-010#registro,64,18
MED-914-011,914,Institución Educativa,IE,INST EDUC SAN NICOLAS,Zona Nororiental,Comuna,1,Popular,Santo Domingo Savio / Popular,Urbano,Media,Inferido por núcleo 914; requiere confirmación de sede.,Activa,index.html?sede=MED-914-011#registro,64,18
MED-914-012,914,Institución Educativa,IE,INST EDUC SAN PABLO,Zona Nororiental,Comuna,1,Popular,San Pablo,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-914-012#registro,64,18
MED-914-013,914,Sección Escuela,SEC,SEC ESC AGRIPINA MONTES DEL VALLE,Zona Nororiental,Comuna,1,Popular,Villa Guadalupe,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-914-013#registro,64,18
MED-914-014,914,Sección Escuela,SEC,SEC ESC ANTONIO DERKA,Zona Nororiental,Comuna,1,Popular,Por verificar en directorio oficial; núcleo 914 (Popular),Urbano,Baja,No se identificó barrio/vereda por nombre de sede; requiere validación con dirección oficial.,Activa,index.html?sede=MED-914-014#registro,64,18
MED-914-015,914,Sección Escuela,SEC,SEC ESC CARPINELO AMAPOLITA,Zona Nororiental,Comuna,1,Popular,Carpinelo,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-914-015#registro,64,18
MED-914-016,914,Sección Escuela,SEC,SEC ESC DIVINA PROVIDENCIA,Zona Nororiental,Comuna,1,Popular,Popular,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-914-016#registro,64,18
MED-914-017,914,Sección Escuela,SEC,SEC ESC FE Y ALEGRIA GRANIZAL,Zona Nororiental,Comuna,1,Popular,Granizal,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-914-017#registro,64,18
MED-914-018,914,Sección Escuela,SEC,SEC ESC FE Y ALEGRIA POPULAR NO 2,Zona Nororiental,Comuna,1,Popular,Popular,Urbano,Alta,Asignado por coincidencia territorial del nombre de la sede.,Activa,index.html?sede=MED-914-018#registro,64,18
MED-914-019,914,Sección Escuela,SEC,SEC ESC FE Y ALEGRIA SEGUNDA AGRUPACION,Zona Nororiental,Comuna,1,Popular,Por verificar en directorio oficial; núcleo 914 (Popular),Urbano,Baja,No se identificó barrio/vereda por nombre de sede; requiere validación con dirección oficial.,Activa,index.html?sede=MED-914-019#registro,64,18
